 famiglia, sub, descrizione articolo, marca
 1A,, a forma ovale,varie
 1B,, a forma tonda,varie
,, Cavo TV SAT a bassa perdita,varie
  ,, spinotti TV maschi,varie
,, Lampada tubolare 15W E14 per lampada spia,varie
,, dimmer per carico resistivo 500W marca Gewiss System,GEWISS
,, dimmer per carico resistivo 500W marca Ticino serie magic,Ticino
  ,," Cassetta di derivazione da incasso in materiale isolante con coperchio a vite, rif. Norm. CEI C 431 - IEC 670 v",
 6A,, 92x92x45,varie
 6B,, 118x96x50,varie
 6C,, 152x98x70,varie
 6D,, 160x130x70,varie
 6E,, 196x152x70,varie
 6F,, 294x152x70,varie
 6G,, 392x152x70,varie
 6H,, 480x160x70,varie
 6I,, 516x202x80,varie
 7A,, 100x100x50mm,varie
 7B,, 120x80x50mm,varie
 7C,, 150x110x70mm,varie
 7D,, 190x140x70mm,varie
 7E,, 241x190x90mm,varie
 7F,, 300x220x120mm,varie
 7G,, 380x300x120mm,varie
 8A,," 3x1,5",varie
 8B,," 3x2,5",varie
 8C,," 4x1,5",varie
 8D,," 4x2,5",varie
 8E,, 4x4,varie
 8F,, 4x6,varie
 8G,, 4x10,varie
 8H,, 4x16,varie
 8I,," 5X2,5",varie
 8J,, 5X4,varie
8k,, 5X6,varie
5L,, 5X10,varie
 5M,, 5X16,varie
 9A,," 3x1,5",varie
 9B,," 3x2,5",varie
 9C,," 4x1,5",varie
 9D,," 4x2,5",varie
 9E,, 4x4,varie
 9F,," 5X1,5",varie
 9G,," 5X2,5",varie
 9H,, 5X4,varie
 10A,," 1x1,5",
  , 10A1, colore blu,varie
, 10A2, colore nero,varie
, 10A3, colore giallo verde,varie
, 10A4, colore marrone,varie
, 10A5, colore grigio,varie
 10B,," 1x2,5",
, 10B1, colore blu,varie
, 10B2, colore nero,varie
, 10B3, colore giallo verde,varie
, 10B4, colore marrone,varie
, 10B5, colore grigio,varie
 10C,, 1x4,
, 10C1, colore blu,varie
, 10C2, colore nero,varie
, 10C3, colore giallo verde,varie
, 10C4, colore marrone,varie
, 10C5, colore grigio,varie
 10D,, 1x6,
, 10D1, colore blu,varie
, 10D2, colore nero,varie
, 10D3, colore giallo verde,varie
, 10D4, colore marrone,varie
, 10D5, colore  grigio,varie
 10E,  , 1x10mmq,
, 10E1, colore blu,varie
, 10E2, colore nero,varie
, 10E3, colore giallo verde,varie
 10F,  , 1x16mmq,
, 10F1, colore blu,varie
, 10F2, colore nero,varie
, 10F3, colore giallo verde,varie
 11A,," 1x0,5mmq 6 colori assortiti",varie
 11B,," 1x0,75 mmq 6 colori assortiti",varie
 11C,, 1x1 mmq 6 colori assortiti,varie
 12A,, 4 moduli DIN,varie
 12B,, 6 moduli DIN,varie
 12C,, 8 moduli DIN,varie
 12D,, 12 moduli DIN,varie
 12E,, 24 moduli DIN,varie
 12F,, 36 moduli DIN,varie
 12G,, 54moduli Din,varie
 13A,, 2 moduli DIN ,varie
 13B,, 4 moduli DIN,varie
 13C,, 6 moduli DIN,varie
 13D,, 8 moduli DIN,varie
 13E,, 12 moduli DIN,varie
 13F,, 24 moduli DIN,varie
 13G,, 36 moduli DIN,varie
 14A,, 4 moduli DIN,varie
 14B,, 8 moduli DIN,varie
 14C,, 12 moduli DIN,varie
 14D,, 24 moduli DIN,varie
 14E,, 36 moduli DIN,varie
 14F,, 54 moduli DIN,varie
 15A,," da 7,5 KW bobina 220V",varie
 15B,, da 11 KW bobina 220V,varie
 15C,, da 15 KW bobina 220V,varie
 15D,, da22 KW bobina 220V,varie
 15E,, da 30 KW bobina 220V,varie
 15F,, da 37 Kw bobina 220V,varie
 15G,, da 45 KW bobina 220V,varie
 16A,," 7,5 KW",varie
 16B,, 11 KW,varie
 16C,, 15 KW,varie
 16D,, 22 KW,varie
 16E,, 30 KW,varie
 16F,, 37 KW,varie
 16G,, 45 KW,varie
 17A,," per contattori da 7,5 KW",
  , 17A1, a 24 V,varie
, 17A2, a 48 V,varie
, 17A3, a 110 V,varie
, 17A4, a 380 V,varie
 17B,, per contattori da 11 KW,
, 17B1, a 24 V,varie
, 17B2, a 48 V,varie
, 17B3, a 110 V,varie
, 17B4, a 380 V,varie
 17C  ,, per contattori da 15 KW,
, 17C1, a 24 V,varie
, 17C2, a 48 V,varie
, 17C3, a 110 V,varie
, 17C4, a 380 V,varie
 17D,, per contattor da 22 KW,
, 17D1, a 24 V,varie
, 17D2, a 48 V,varie
, 17D3, a 110 V,varie
, 17D4, a 380 V,varie
 17E,, per contattori da 30 KW,
, 17E1, a 24 V,varie
, 17E2, a 48 V,varie
, 17E3, a 110 V,varie
, 17E4, a 380 V,varie
 17F,, per contattori da 37 KW,
, 17F1, a 24 V,varie
, 17F2, a 48 V,varie
, 17F3, a 110 V,varie
, 17F4, a 380 V,varie
 17G,, per contattori da 45 KW,
, 17G1, a 24 V,varie
, 17G2, a 48 V,varie
, 17G3, a 110 V,varie
, 17G4, a 380 V,varie
 18A,," per contattore da 7,5 a 15KW",
, 18A1," da 0,6 a 1A",varie
, 18A2," da 1 a 1,4A",varie
, 18A3," da 1,3 a 1,8A",varie
, 18A4," da 1,7 a 2,4A",varie
, 18A5," da 2,2 a 3,1A",varie
, 18A6," da 2,5 a 4A",varie
, 18A7," da 3,5 a 5A",varie
, 18A8," da 4,5 a 6,5A",varie
, 18A9," da 6 a 8,5A",varie
, 18A10," da 7,5 a 11A",varie
, 18A11, da 10 a 14A,varie
, 18A12, da13 a 19A,varie
, 18A13, da 18 a 25A,varie
, 18A14, da 24 a 32A,varie
 18B,  , per contattori da 22 a 37A,
, 18B1, da 29 a 42A,varie
, 18B2, da 36 a 52A,varie
, 18B3, da 45 a 63A,varie
, 18B4, da 60 a 80A,varie
 18C,  , per contattori da 45 KW,
, 18C1, da 36 a 52A,varie
, 18C2, da 45 a 63A,varie
, 18C3, da 60 a 80A,varie
 19A,, ad 1 posto,GEWISS
 19B,, a 2 posti,GEWISS
 19C,, a 3 posti,GEWISS
 19D,, a 4 posti,GEWISS
 19E,, a 6 posti ,GEWISS
 19F ,, a 8 posti ,GEWISS
 19G,, a 12 posti,GEWISS
 19H,  , a 16 posti,GEWISS
 20A,, ad 1 posto,GEWISS
 20B,, a 2 posti,GEWISS
 20C,, a 3 posti,GEWISS
 20D,, a 4 posti,GEWISS
 20E,, a 8 posti ,GEWISS
 20F,, a 12 posti,GEWISS
 21A,, bipolare da 10A,TICINO-ABB
 21B,, bipolare da 16A,TICINO-ABB
 21C,, bipolare da 20A,TICINO-ABB
 21D,, bipolare da 25A,TICINO-ABB
 21E,, trpolare da 25 a 32A,TICINO-ABB
 21F,, tripolare da 40 a 63A,TICINO-ABB
 21G,, quadripolari da 16A,TICINO-ABB
 21H,, quadripolari da 20A,TICINO-ABB
 21I,, quadripolari da 25A,TICINO-ABB
 21J,, quadripolari da 32A,TICINO-ABB
 21K,, quadripolari da 40 a 63A,TICINO-ABB
 22A,, bipolare da 32A,TICINO-ABB
 22B,, quadripolari da 32A,TICINO-ABB
 22C,, quadripolare da 63A,TICINO-ABB
 22Abis,, bipolare da 32A,TICINO-ABB
 22Bbis,, quadripolari da 32A,TICINO-ABB
 22Cbis,, quadripolare da 63A,TICINO-ABB
 23A,  , quadripolare da 100A,TICINO-ABB
 23B,, quadripolare da 125A,TICINO-ABB
,, quadripolare da 160A;,TICINO-ABB
 24A,, apparecchi di comando  marca n. 1  Vimar  serie Plana,
, 24A1, interruttore unipolare con lampada di localizzazione,VIMAR 
, 24A2, interruttore bipolare non automatico,VIMAR
, 24A3, deviatore unipolare,VIMAR
, 24A4, pulsante unipolare  NO,VIMAR
, 24A5, pulsante unipolare  NC,VIMAR
, 24A6, pulsante a tirante NO,VIMAR
, 24A7, tasto copriforo,VIMAR
 24B,, apparecchio per prelievo energia; norme di rif. CEI 23-16 VII ed. e CEI 23-5 I ed. marca n. 1 Vimar Plana,
, 24B1, presa standard italiano 2P+T 10A; ,VIMAR
, 24B2, presa standard italiano 2P+T 10/16A bipasso,VIMAR
, 24B3, presa standard UNEL 2P+T10/16A bivalente;,VIMAR
, 24B4, presa mignon 2P 6A;,VIMAR
, 24B5, presa TV satellitare passante;,VIMAR
  ,  24B6, presa TV satellitare derivata;,VIMAR
 24C,  ,"interruttore automatico magnetotermici unipolare con  polo protetto , tensione nominale 220V; potere di interruzione 3KA;",
, 24C1, 6A,VIMAR
, 24C2, 10A,VIMAR
, 24C3, 16A,VIMAR
 24D,, apparecchi di segnalazione acustica,
, 24D2, suoneria in bronzo  24V;,TICINO
, 24D3, suoneria in bronzo  220V,TICINO
, 24D5, ronzatore   24V;,TICINO
, 24D6, ronzatore  220V;,TICINO
 24E,, apparecchi ausiliari 24V ,
, 24E1, relè intermittente,TICINO
, 24E2, relè ausiliario per intermittenza;,TICINO
, 24E3, relè serie    ,TICINO
, 24E4, relè  bistabile,TICINO
,24E5, relè  bipolare,TICINO
 24Abis,, apparecchi di comando  marca n. 2 Gewiss serie System,
, 24A1bis, interruttore unipolare,GEWISS
, 24A2bis, interruttore unipolare con lampada di localizzazione,GEWISS
, 24A3bis, interruttore bipolare non automatico,GEWISS
, 24A4bis, deviatore unipolare,GEWISS
, 24A5bis, pulsante unipolare n.a.,GEWISS
, 24A6bis, pulsante unipolare  n.o.,GEWISS
, 24A7bis, pulsante a tirante n.a.,GEWISS
, 24A8bis, pulsante unipolare con lampada di  localizzazzione,GEWISS
, 24A8bis, copriforo,GEWISS
 24Bbis,, apparecchio per prelievo energia; norme di rif. CEI 23-16 VII ed. e CEI 23-5 I ed. marca n. 2 Gewiss serie System,
, 24B1bis, presa standard italiano 2P+T 10A; ,GEWISS
, 24B2bis, presa standard italiano 2P+T 10/16A bipasso,GEWISS
, 24B3bis, presa standard UNEL 2P+T10/16A bivalente;,GEWISS
, 24B4bis," presa mignon  2P interasse 12,4mm;",GEWISS
, 24B5bis, presa TV satellitare passante;,GEWISS
  ,  24B6bis, presa TV satellitare derivata;,GEWISS
, 24B7bis, lampada anti black-out estraibile;,GEWISS
, 24B8bis, presa standard UNEL 2P+T10/16A bivalente colore. rossa;,GEWISS
, 24B9bis, presa standard UNEL 2P+T10/16A bivalente colore verde;,GEWISS
 24Cbis,  ,"interruttore automatico magnetotermici bipolare (1P+N) con  polo protetto , tensione nominale 230V; potere di interruzione 3KA; marca n. 2 Gewiss serie System",
, 24C1bis, 6A,GEWISS
, 24C2bis, 10A,GEWISS
, 24C3bis, 16A,GEWISS
 24Dbis,, apparecchi di segnalaz. acustica da incasso marca n. 2 Gewiss serie System,
, 24D1bis, suoneria in bronzo 12V;,GEWISS
, 24D2bis, suoneria in bronzo 24V;,GEWISS
, 24D3bis, suoneria in bronzo 220V,GEWISS
, 24D4bis, ronzatore 12V,GEWISS
, 24D5bis, ronzatore  24V;,GEWISS
, 24D6bis, ronzatore 220V;,GEWISS
,, lampade ad incandescenza 230V goccia attacco E27,
 25A,, da 25W,varie
 25B,, da 40W,varie
 25C,, da 60W,varie
 25D,  , da 75W,varie
 25E,, da 100W,varie
 25F,, da 150W,varie
 25G,, da 200W,varie
,, lampade ad incandescenza 230V goccia attacco E27 colorata rossa,
 26A,, da 25W,varie
 26B,, da 40W,varie
 26C,, da 60W,varie
,, lampada ad incandescenza 230V sferica chiara,
 27A,, attacco E27 230V,
  , 27A1, da 25W,varie
  , 27A2, da 40W,varie
  , 27A3, da 60 W,varie
 27B,, attacco E14 230V,
, 27B1, da 25W,varie
, 27B2, da 40W,varie
, 27B3, da 60W,varie
 27C,, lampada ad incandescenza   24V  E14  ,
, 27C1, 25W,varie
, 27C2, 40W,varie
,, lampada fluorescente lineare luce diurna  84;,
 28A,, da 15W,varie
 28B,, da 18W,varie
 28C,, da 30W,varie
 28E,, da 36W,varie
 28F,, da 58W,varie
,, lampada fluorescente slim-line;,
 29A,, da 72W T8,varie
 29B,, da 96W T8,varie
,," lampada lineare a radiazione UV-C a breve lunghezza d'onda, con effetto battericida ;",
 30A,, da 15W,varie
 30B,, da 30W,varie
,," lampada a vapore di sodio ad alta pressione 230V, funzionante con accenditore elissoidale o tubolare; ",
 31A,, da 150W,varie
,, lampada a vapore di mercurio ad alta pressione 230V funzionante con reattore;,
 32A,, da 250W,varie
 32B,, da 125W,varie
,, placca in resina per installazione a pressione su supporto in resina ,
 33A,," placca in resina per installazione a pressione su supporto in resina per  apparecchi componibili, marca n. 1; Vimar  serie Plana bianca",
, 33A1, a 3 posti;,VIMAR
, 33A2, a 4 posti;,VIMAR
, 33A3, a 6 posti ;,VIMAR
, 33A4, a 6 posti 3+3; ,VIMAR
,, placca in resina per installazione a pressione su supporto in resina per  apparecchi componibili; colore bianco  marca n. 2;,
, 33A1bis, ad 1 posto standard italiano;,GEWISS
, 33A2bis, a 2 posti standard italiano;,GEWISS
, 33A3bis, a 3 posti standard italiano;,GEWISS
, 33A4bis," per installazione su supporto in resina per n. 4 apparecchi componibili, marca 2;",GEWISS
, 33A5bis, per installazione su supporto in resina per n. 6 apparecchi standard italiano marca 2;,GEWISS
, 33A6bis, placca autoportante con coperchio IP55 a 3 posti colore bianco,GEWISS
, 33A7bis, placca autoportante con coperchio IP55 a 4 posti  colore bianco,GEWISS
 34A,, 1x18W,varie
 34B,, 2x18W,varie
 34C,, 1x36W,varie
 34D,, 2x36W,varie
 34E,, 2x58W,varie
 34F,, 3x36W,varie
 35A,, 1x18W,varie
 35B,, 2x18W,varie
 35C,, 2x36W,varie
 35D,, 2x58W,varie
,," portalampade in bachelite marchio IMQ, camicia liscia interno con dispositivo antisvitamento colore nero;",
 36A,, E 27,varie
 36B,, E 14,varie
,," portalampada in porcellana, corpo monoblocco, contatti in ottone, marchi IMQ;  ",
 37A,  , E 27,varie
 37B,, E 40,varie
,," portalampada di sicurezza gl3 per colonna singola in poliammide per neon, dispositivo rotante con posizione di 90°; -",
 38A,, a colonna semplice;,varie
 38B,, a colonna con portastarter;,varie
,," portastarter,",varie
,, pulsante mobile per uso civile colore bianco;,varie
,," alimentatore elettromagnetico per lampada fluorescente, rif. Normativo CEI 34-4 EN 60965 e 60921, IEC 920 e 921;  ",
 41A,, per lampada fluorescente da 18W;,varie
 41B,, per lampada fluorescente da 30W;,varie
 41C,, per lampada fluorescente da 36W;,varie
 41D,, per lampada fluorescente  da 58W;,varie
,," alimentatore elettromagnetico per lampada fluorescente a vapore di sodio alta pressione, rif. Normativo UNEL 66019 CEI 34-48  CEI 34-49, EN 60922 e 60923, IEC 922 e 923;  ",
 42A,, per lampada da 150W;,varie
,," alimentattore elettromagnetico per lampada fluorescente a vapore di mercurio, rif: Normativo CEI 34-48 e 34-49 EN 60922 e60923 IEC922e 923;",
 43A,, per lampada da 250W;,varie
 43B,, per lampada da 125W;,varie
 44A,, da 3KVA;,varie
 44B,," da 4,5 KVA;",varie
 44C,, da 7KVA ,varie
 47A,, da 50VA,
, 47A1, 380-220/12-24V,varie
, 47A2, 380-220/24-48V,varie
, 47A3, 380-220/55-110V,varie
 47B,  , da 100VA;,
, 47B1, 380-220/12-24V,varie
, 47B2, 380-220/24-48V,varie
, 47B3, 380-220/55-110V;,varie
 47C,, da 150VA;,
, 47C1, 380-220/12-24V;,varie
, 47C2, 380-220/24-48V;,varie
, 47C3, 380-220/55-110V;,varie
 47D,, Tasformatore per guida DIN,
, 47D1, 220/24V 25VA;,varie
, 47D2, 220/24V  40VA;,varie
, 47D3, 220/24V  63VA;,varie
,," starter con custodia isolante autoestinguente per innesco lampada fluorescente, marchio IMQ;",
 48A,, per lampada fluorescente fino a 20W;,varie
 48B,, per lampada fluorescente fino a 65W;,varie
,, sonda passafilo;,
 49A,  , da 5m.,varie
 49B,, da 10m.;,varie
 49C,, da 15m.;,varie
,," treccia per permutatore da 0,75mmq;",
 50A,, a 6 conduttori;,varie
 50B,, a 8 conduttori;,varie
 50C,, a 10 conduttori;,varie
 52A,, Diametro nominale  16mm;,varie
 52B,, Diametro nominale  20mm;,varie
 52C,, diametro nominale   25mm; ,varie
 52D,, diametro nominale   32mm; ,varie
,," tubo isolante flessibile di colori vario serie pesante tipo FK15 in PVC autoestinguente, rif. Norm. CEI 23-14,  marchio IMQ;",
 53A,, diametro nominale 16mm;,varie
 53B,, diametro nominale 20mm;,varie
 53C,, diametro nominale 25mm;,varie
 53D,, diametro nominale 32mm;,varie
,, scatola da incasso in resina per installazione apparecchi componibili assimilabili alle misure;,
 54A,, 106X71X52mm 3 posti;,varie
 54B,, 130X71X52mm  4 posti;,varie
 54C,, 186X76X52mm 6 o 7 posti allineati;,varie
 54D,, 106X117X52mm 6 posti su due file da 3;,varie
 55A,, per scatola 106X71X52mm 3 posti standard italiano;,WIMAR
 55B,, per scatola 130X71X52mm 4 posti standard italiano;,WIMAR
 55C,, per scatola 18X76X52mm a 6 posti standard italiano;,WIMAR
 55D,, per scatola 106X117X52mm a 6 posti su due file da 3 posti standard italiano;,WIMAR
 55Abis ,, per scatola 106X71X52mm 3 posti standard italiano;,GEWISS
 55Bbis,, per scatola 130X71X52mm 4 posti standard italiano;,GEWISS
 55Cbis,, per scatola 106X117X52mm a 6 posti standard italiano;,GEWISS
 56A,, diamentro nominale 16mm;,varie
 56B,, diametro nominale 20mm;l,varie
 56C,, diametro nominsle 25mm;,varie
 56D,, diametro nominale 32mm;,varie
 57A,, diametro nominale 16mm;,varie
 57B,, diametro nominale 20mm:,varie
 57C,, diametro nominale 25mm;,varie
 57D,, diametro nominale 32mm;,varie
,, supporto fermatubo in nylon a due pezzi per fissaggio a parete dei tubi rigidi,
 58A,, per tubi da 16 a 20mm.,varie
 58B,, per tubi da 20 a 25mm;,varie
 58C,, per tubi da 25 a 32mm; ,varie
,, raccordo tubo cassetta-cassetta IP66 in polimero antiurto grigio Ral 7035 ,
 59A,, per tubo rigido da 16mm;,varie
 59B,, per tubo rigido da 20mm;,varie
 59C,, per tubo rigido da 25mm;,varie
 59D,, per tubo rigido da 32mm;,varie
,, zoccolo per relè undecal installabile per guida DIN;,varie
,, nastro isolante in PVC autoestinguente; ,
 63A,, 25X19 nero;,varie
 63B,, 25X19 blu;,varie
 63C,, 25X19 giallo/verde;,varie
 64A,," da 1,5 mmq;",varie
 64B,," da 2,5 mmq;",varie
 64C,, da 6 mmq,varie
 64D,, da 10mmq;,varie
 64E,, da 16 mmq;,varie
,, citofono unificato da parete;,urmet
,, alimentatore citofonico 28VA;,urmet
,, unità di commutazione automatica con posto esterno;,urmet
,  , gruppo fonico slim; ,urmet
,, placca portamoduli per n. 1 unità modulare;,urmet
,, placca portamoduli per n. 2 unità modulari;  ,urmet
,, unità modulare 1 pulsante + posto esterno,urmet
,, unità modulare con 2 pulsanti + posto esterno,urmet
,, unità modulare con 4 pulsanti; ,urmet
,, cavo citofonico ad 8 conduttori;,urmet
,," treccia permutazione 8x0,75;",urmet
,, tasto supplementare,urmet
,, adattatore da tavolo,urmet
 76A,, diametro nominale  8mm;,varie
 76B,, diametro nominale  10mm;,varie
 76C,, diametro nominale  12mm;,varie
 76D,, diametro nominale  14mm;,varie
 76E,, diametro nominale 16mm;,varie
 76F,, diametro nominale 20mm;,varie
 76G,, diametro nominale 25mm;,varie
  ,, raccordo tubo-guaina in materiale termoplastico autoestinguente colore grigio  IP65 ,
 77A,, per tubo da 16mm e guaina da 12mm;,varie
 77B,, per tubo da 20mm e guaina da 16mm; ,varie
 77C,, per tubo da 25mm e guaina da 20mm;,varie
 78A ,, per guaina da 8mm;,varie
 78B,, per guaina da 10mm;,varie
 78C,, per guaina da 12mm;,varie
 78D,, per guaina da 14mm;,varie
 78E,, per guaina da 16mm;,varie
 78F,, per guaina da 20mm;,varie
 78G,, per guaina da 25mm;,varie
 79A,, 2P+T 16A 220V;,varie
 79B,, 3P+T 16A 380V;,varie
 79C,, 3P+T+N 16A 380V;,varie
 79D,, 3P+T 32A 380V;,varie
 79E,, 3P+T+N 32A 380V;,varie
 79F,, 3P+T  63A 380V;,varie
 79G,, 3P+T+N 63A 390V;,varie
 80A,, 2P+T 16A 220V;,varie
 80B,, 3P+T 16A 380V;,varie
 80C,, 3P+T+N 16A 380V;,varie
 80D,, 3P+T 32A 380V;,varie
 80E,, 3P+T+N 32A 380V;,varie
 80F,, 3P+T 63A 380V;,varie
 80G,, 3P+ T+N 63A 380V;,varie
 81A,, 1x8W;,varie
 81B,, 1x11W;,varie
 81C,, 1x18W;,varie
 81D,, 1x36W;,varie
 82A,, 2x18W;,varie
 82B,, 2x36W;,varie
  ,,  ,
 83A,, da soffitto  2x18W;,varie
 83B,, da soffitto   2x36W;,varie
 83C,, da soffitto  2x58W;,varie
 83D,, da soffitto 4x18W,varie
 83E,, per controsoffitto modulo 600x600 4x18W,varie
 83F,, per controsoffitto modulo 600x300 2x18W,varie
 84A,, 1x18W;,varie
 84B,, 1x36W;,varie
 84C,, 1x58W;,varie
 84D,, modulo vuoto;,varie
,," KIT  citofonico per impianto bifamiliare completo di n. 2 citofoni da parete, posto esterno, alimentatore 28VA, modulo predisposto per P.E. con n. 2 tasti di chiamata, telaio portamoduli ", URMET
 87A,, 10A,WIMAR
 87B,, 16A,WIMAR
 88C,," 16A,  P.I.3000A",WIMAR
 89A,, colore rosso,WIMAR
 89B,, colore verde,WIMAR
 89C,, bianco,WIMAR
